Z;F;S
12;34;100
22;33;124
35;28;153
45;22;185
69;21;210
74;22;220
79;22;216
78;19;222
66;22;240
43;18;265
33;22;298
36;25;330
34;15;362
38;5;381
36;0;391
28;-8;390
6;-10;390
-19;-19;392
-38;-25;395
-45;-39;397
-35;-49;397
-11;-50;393
6;-54;380
7;-54;356
7;-59;334
-2;-63;322
-3;-64;320
5;-58;322
19;-53;338
26;-39;332
25;-43;317
41;-37;263
46;-32;195
52;-24;142
50;-14;108
47;-1;97
38;12;80
24;18;80
17;24;85
3;23;39
-11;24;-139
-14;25;-816
-5;27;-1202
2;29;-1374
11;28;-1074
28;34;-557
34;44;-193
29;57;51
18;64;51
16;80;272
9;83;395
5;86;407
5;76;336
-5;60;209
-17;47;54
-29;40;-13
-29;42;-7
-19;42;48
-1;49;118
17;61;233
28;68;404
19;71;578
3;74;649
-1;74;627
-13;79;599
-7;69;577
-1;58;555
0;50;483
-11;51;369
-12;48;224
-4;51;2
3;51;-309
11;41;-618
34;40;-809
44;37;-775
44;42;-470
38;40;-59
39;46;343
39;44;570
50;51;600
50;42;397
55;45;58
51;47;-456
56;56;-718
53;66;-773
44;64;-507
28;61;-77
19;63;196
22;72;394
22;81;528
39;82;578
48;85;579
50;88;564
40;94;530
22;97;475
-2;95;416
-19;93;356
-13;86;295
-15;82;238
-29;69;191
-48;46;160
-43;30;145
-29;11;137
-5;-2;135
21;-13;136
33;-11;137
28;-12;151
18;-8;163
14;-2;174
-1;2;182
-8;6;183
-12;13;179
-18;19;160
-18;23;121
-15;24;60
-11;24;-15
-21;30;-55
-24;34;-58
-22;43;-1
-16;56;104
-15;61;189
-14;63;223
-8;57;157
-5;49;-2
1;35;-462
0;17;-1073
0;8;-1358
-8;-1;-1212
-20;2;-624
-28;10;-51
-42;22;298
-41;25;474
-20;29;533
6;32;482
18;36;395
17;34;240
17;26;36
16;25;-92
17;21;-100
14;33;62
6;45;242
-2;49;448
-7;55;670
6;55;826
22;54;885
29;44;754
29;38;554
32;38;360
28;46;196
24;50;23
30;57;-162
37;52;-323
35;43;-430
31;40;-554
37;45;-798
44;57;-986
52;59;-973
62;66;-701
58;61;-313
50;58;-49
40;52;63
39;48;69
43;38;20
52;39;-42
65;40;-39
52;39;21
30;30;122
7;18;220
-4;19;302
-18;20;346
-32;20;389
-47;22;393
-53;17;383
-48;19;356
-40;19;308
-17;23;253
-23;18;180
-32;19;115
-41;12;30
-50;2;-72
-53;-4;-177
-49;-13;-262
-35;0;-293
-28;-6;-303
-15;5;-287
-2;4;-251
14;4;-239
18;3;-244
15;-4;-315
20;-4;-464
14;-16;-739
